"","WeekOfYear","State","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death"
"1","07","Alabama",60,61,27,70,72,58,68,0.00373464373464372,5,0,1.735,2.5,0,5,16,0.5,0,4,1.6,772
"3","07","Arizona",92,78,51,50,99,74,55,0.00373464373464372,0,0,3.151,5,2.5,3,21.5,-0.5,-0.5,5.16666666666667,1.9,2064
"5","07","California",73,91,60,62,99,77,61,0.00373464373464372,51,0,34.979,3,0.5,1,25,-1,-0.5,4.66666666666667,0.6,6591
"6","07","Colorado",97,78,86,68,80,81.8,53,0.00373464373464372,0,0,1.862,4.5,4,1,-11.5,1,0,-0.166666666666667,2.1,1131
"7","07","Connecticut",90,71,35,58,90,68.8,64,0.00373464373464372,0,0,2.435,4.5,-4.5,5.5,6,-1,0,1.75,0.9,1276
"9","07","Florida",77,58,78,70,94,75.4,69,0.00373464373464372,0,0,4.861,3,0.5,2,8.5,-1.5,-0.5,2,0.7,5777
"10","07","Georgia",78,65,39,47,88,63.4,60,0.00373464373464372,0,0,5.03,1.5,-2,-0.5,11.5,-1,0,1.58333333333333,-0.4,1430
"11","07","Hawaii",46,39,15,19,43,32.4,35,0.00373464373464372,0,0,1.02,3,2.5,4,17,-1,-0.5,4.16666666666667,1.6,227
"13","07","Illinois",81,88,30,83,93,75,67,0.00373464373464372,0,0,11.812,6,2.5,3,19.5,2.5,-1,5.41666666666667,2.6,2939
"14","07","Indiana",100,68,46,48,93,71,80,0.00373464373464372,0,0,2.979,8.5,3.5,6,25,0.5,-1,7.08333333333333,3.5,1791
"18","07","Louisiana",65,77,23,79,90,66.8,57,0.00373464373464372,0,0,1.798,6.5,4.5,10.5,11.5,0.5,-0.5,5.5,4.3,1341
"20","07","Maryland",69,77,80,61,94,76.2,75,0.00373464373464372,0,0,2.7,3.5,0,0,12,0,-1,2.41666666666667,0.5,2360
"21","07","Massachusetts",96,77,68,70,86,79.4,64,0.00373464373464372,0,0,9.264,4,-4,1,1.5,-1,0,0.25,0,2221
"22","07","Michigan",80,73,35,62,84,66.8,72,0.00373464373464372,0,0,5.942,5.5,2,4.5,30,3.5,-0.5,7.5,3,2388
"23","07","Minnesota",72,80,42,31,94,63.8,63,0.00373464373464372,0,0,3.539,7.5,2,1,12,1,-1,3.75,2.1,791
"24","07","Mississippi",87,66,37,42,96,65.6,82,0.00373464373464372,0,0,827,5.5,3.5,6,2.5,0,0,2.91666666666667,3,394
"25","07","Missouri",75,52,34,58,96,63,64,0.00373464373464372,0,0,3.063,9,5.5,2,28,3.5,-1,7.83333333333333,3.8,1634
"28","07","Nevada",82,59,27,41,90,59.8,55,0.00373464373464372,0,0,2.052,4.5,2.5,1.5,22,-1,-0.5,4.83333333333333,1.4,696
"30","07","New Jersey",82,63,94,90,90,83.8,50,0.00373464373464372,0,0,8.396,3.5,-3.5,1,12.5,0.5,0,2.33333333333333,0.3,2838
"31","07","New Mexico",62,72,0,76,96,61.2,89,0.00373464373464372,0,0,737,7.5,8.5,4.5,27,0.5,-1,7.83333333333333,4,641
"32","07","New York",88,60,62,71,100,76.2,67,0.00373464373464372,0,0,14.144,5,-3.5,-2,5.5,0.5,-0.5,0.833333333333333,-0.1,2202
"33","07","North Carolina",65,86,65,60,95,74.2,61,0.00373464373464372,0,0,2.852,4.5,-2,1.5,9,-1,-0.5,1.91666666666667,0.5,2307
"35","07","Ohio",88,99,72,60,99,83.6,78,0.00373464373464372,0,0,6.208,5.5,0.5,0.5,20,0.5,-0.5,4.41666666666667,1.3,4365
"36","07","Oklahoma",75,90,65,59,83,74.4,75,0.00373464373464372,0,0,1.509,4.5,1.5,1.5,12,1,0,3.41666666666667,1.7,621
"37","07","Oregon",75,74,37,45,93,64.8,59,0.00373464373464372,0,0,3.514,8,0,1,14,-0.5,-0.5,3.66666666666667,1.6,625
"38","07","Pennsylvania",88,99,57,61,100,81,66,0.00373464373464372,0,0,12.631,7,0,1.5,21,0.5,-0.5,4.91666666666667,1.7,4551
"40","07","South Carolina",77,70,46,67,77,67.4,66,0.00373464373464372,0,0,1.824,5,1,8,15,-0.5,-0.5,4.66666666666667,2.6,1176
"42","07","Tennessee",98,80,34,41,90,68.6,79,0.00373464373464372,0,0,1.855,6.5,2.5,3.5,41.5,2,-1,9.16666666666667,2.7,2202
"43","07","Texas",90,79,76,59,94,79.6,72,0.00373464373464372,0,0,12.047,5.5,3,3.5,16,1,-1,4.66666666666667,2.4,3259
"44","07","Utah",100,94,28,72,80,74.8,89,0.00373464373464372,0,0,1.008,3.5,3,-4,11,-1.5,0,2,0.2,560
"46","07","Virginia",79,82,49,75,96,76.2,76,0.00373464373464372,0,0,2.079,3,1,1.5,6,0,0,1.91666666666667,1.1,1569
"47","07","Washington",87,90,70,58,95,80,72,0.00373464373464372,0,0,5.585,8.5,1,6.5,13.5,-2,-0.5,4.5,2.7,1276
"49","07","Wisconsin",100,71,71,51,57,70,52,0.00373464373464372,0,0,6.098,9.5,6,1,28,2.5,-1.5,7.58333333333333,3.5,1288
"51","08","Alabama",49,100,58,49,100,71.2,69,-0.0718276468790519,8,0,1.575,1,-0.285714285714286,6.71428571428571,9.85714285714286,-0.857142857142857,1.14285714285714,2.92857142857143,1.54285714285714,772
"53","08","Arizona",65,91,74,40,91,72.2,64,-0.0718276468790519,0,0,3.086,3.71428571428571,0.714285714285714,3.42857142857143,8.28571428571429,-3.71428571428571,1.14285714285714,2.26190476190476,1.05714285714286,2064
"55","08","California",88,89,71,53,100,80.2,63,-0.0718276468790519,105,1,41.678,2.28571428571429,0.428571428571429,-1.14285714285714,15.1428571428571,-4.85714285714286,1.28571428571429,2.19047619047619,-0.4,6591
"56","08","Colorado",86,89,66,49,100,78,60,-0.0718276468790519,0,0,1.681,-0.285714285714286,0.571428571428571,0,-9.85714285714286,-2.57142857142857,1.42857142857143,-1.78571428571429,-0.171428571428571,1131
"57","08","Connecticut",90,59,28,50,100,65.4,48,-0.0718276468790519,0,0,2.843,4.85714285714286,-1.71428571428571,4.42857142857143,24,-4.14285714285714,1,4.73809523809524,0.885714285714286,1276
"59","08","Florida",83,63,56,64,94,72,61,-0.0718276468790519,0,0,4.853,3,0.714285714285714,3,11.1428571428571,-2,0.714285714285714,2.76190476190476,1.08571428571429,5777
"60","08","Georgia",79,71,50,41,84,65,72,-0.0718276468790519,0,0,5.538,0.714285714285714,-1.57142857142857,2,8.28571428571429,-4,1.42857142857143,1.14285714285714,-0.285714285714286,1430
"61","08","Hawaii",57,48,0,36,100,48.2,42,-0.0718276468790519,0,0,1.049,1.71428571428571,-1,1.71428571428571,9.28571428571429,-6.28571428571429,1.71428571428571,1.19047619047619,-0.428571428571429,227
"63","08","Illinois",87,93,53,55,95,76.6,67,-0.0718276468790519,0,0,8.98,4,1.85714285714286,1.85714285714286,22.8571428571429,-0.857142857142857,0.142857142857143,4.97619047619048,1.4,2939
"64","08","Indiana",71,85,44,57,81,67.6,77,-0.0718276468790519,0,0,2.276,5.57142857142857,0.857142857142857,6,24.7142857142857,0.142857142857143,0,6.21428571428571,2.51428571428571,1791
"68","08","Louisiana",68,53,24,55,71,54.2,49,-0.0718276468790519,0,0,1.509,6.14285714285714,3.71428571428571,15.5714285714286,14.4285714285714,-0.285714285714286,0.142857142857143,6.61904761904762,5.05714285714286,1341
"70","08","Maryland",78,93,67,67,97,80.4,65,-0.0718276468790519,0,0,2.626,3.28571428571429,0.428571428571429,-0.285714285714286,26.4285714285714,-2.42857142857143,0.714285714285714,4.69047619047619,0.342857142857143,2360
"71","08","Massachusetts",85,89,30,66,97,73.4,58,-0.0718276468790519,0,0,4.865,3.85714285714286,-3.42857142857143,-3.71428571428571,17.4285714285714,-10.7142857142857,2.42857142857143,0.976190476190476,-2.31428571428571,2221
"72","08","Michigan",77,88,40,57,91,70.6,81,-0.0718276468790519,0,0,5.419,3.28571428571429,-0.285714285714286,7.57142857142857,21.8571428571429,-0.714285714285714,0.428571428571429,5.35714285714286,2.05714285714286,2388
"73","08","Minnesota",81,80,57,34,83,67,62,-0.0718276468790519,0,0,3.41,2.57142857142857,1.42857142857143,3.14285714285714,6.42857142857143,-1.85714285714286,0.571428571428571,2.04761904761905,1.17142857142857,791
"74","08","Mississippi",62,62,47,36,75,56.4,71,-0.0718276468790519,0,0,744,1.28571428571429,0.857142857142857,5.14285714285714,1.28571428571429,-1.71428571428571,1,1.30952380952381,1.31428571428571,394
"75","08","Missouri",81,89,60,40,99,73.8,87,-0.0718276468790519,0,0,2.732,6.14285714285714,2.42857142857143,4.71428571428571,22.5714285714286,2.71428571428571,-0.285714285714286,6.38095238095238,3.14285714285714,1634
"78","08","Nevada",54,68,35,28,80,53,63,-0.0718276468790519,0,0,2.324,2.71428571428571,0.857142857142857,2.71428571428571,12,-3.71428571428571,0.857142857142857,2.57142857142857,0.685714285714286,696
"80","08","New Jersey",71,76,60,77,70,70.8,56,-0.0718276468790519,0,0,7.773,4.28571428571429,0,0.142857142857143,35.2857142857143,-4,1.14285714285714,6.14285714285714,0.314285714285714,2838
"81","08","New Mexico",64,39,12,36,66,43.4,80,-0.0718276468790519,0,0,681,3.57142857142857,4.28571428571429,3.14285714285714,4.14285714285714,-1.85714285714286,0.428571428571429,2.28571428571429,1.91428571428571,641
"82","08","New York",80,88,61,72,88,77.8,61,-0.0718276468790519,0,0,31.208,3.71428571428571,-2.14285714285714,-4.71428571428571,15,-9.57142857142857,2.42857142857143,0.785714285714286,-2.05714285714286,2202
"83","08","North Carolina",69,95,46,57,82,69.8,72,-0.0718276468790519,0,0,1.767,-0.571428571428571,-1.42857142857143,1.57142857142857,8.71428571428571,-4,2.57142857142857,1.14285714285714,-0.371428571428571,2307
"85","08","Ohio",78,93,76,48,100,79,76,-0.0718276468790519,0,0,9.916,4,0.285714285714286,3.85714285714286,27.8571428571429,-0.571428571428571,0.285714285714286,5.95238095238095,1.57142857142857,4365
"86","08","Oklahoma",70,100,59,53,100,76.4,60,-0.0718276468790519,9,0,1.458,2.28571428571429,-0.285714285714286,2.57142857142857,3.85714285714286,-1.28571428571429,0.714285714285714,1.30952380952381,0.8,621
"87","08","Oregon",100,78,36,55,86,71,42,-0.0718276468790519,0,0,3.936,6.14285714285714,2.42857142857143,4.42857142857143,42.5714285714286,-2,-0.142857142857143,8.9047619047619,2.17142857142857,625
"88","08","Pennsylvania",96,89,60,50,97,78.4,62,-0.0718276468790519,0,0,12.045,4.42857142857143,0.285714285714286,0.714285714285714,34.5714285714286,-1,0.571428571428571,6.59523809523809,1,4551
"90","08","South Carolina",70,100,78,50,79,75.4,54,-0.0718276468790519,0,0,1.977,1.57142857142857,-0.571428571428571,4.85714285714286,3,-1.57142857142857,1.28571428571429,1.42857142857143,1.11428571428571,1176
"92","08","Tennessee",86,82,38,43,100,69.8,84,-0.0718276468790519,0,0,2.014,1.42857142857143,-0.285714285714286,2.28571428571429,15,-0.714285714285714,0.571428571428571,3.04761904761905,0.657142857142857,2202
"93","08","Texas",80,90,63,57,94,76.8,72,-0.0718276468790519,0,0,12.692,1.57142857142857,0.142857142857143,1.71428571428571,-1.14285714285714,-0.714285714285714,0.571428571428571,0.357142857142857,0.657142857142857,3259
"94","08","Utah",52,85,27,82,80,65.2,63,-0.0718276468790519,0,0,885,6.28571428571429,7.71428571428571,2.14285714285714,25.8571428571429,-3.14285714285714,0.714285714285714,6.59523809523809,2.74285714285714,560
"96","08","Virginia",76,100,40,52,90,71.6,64,-0.0718276468790519,0,0,3.267,2.14285714285714,1,1.85714285714286,18.5714285714286,-3,1.28571428571429,3.64285714285714,0.657142857142857,1569
"97","08","Washington",82,88,62,53,100,77,69,-0.0718276468790519,0,0,5.77,6,1.28571428571429,4,45.1428571428571,-6.14285714285714,0.428571428571429,8.45238095238095,1.11428571428571,1276
"99","08","Wisconsin",85,63,37,59,79,64.6,55,-0.0718276468790519,0,0,5.658,2.85714285714286,2.28571428571429,2.42857142857143,19.7142857142857,1.57142857142857,0,4.80952380952381,1.82857142857143,1288
"101","09","Alabama",82,70,48,58,82,68,66,-0.0399078067009568,34,1,1.663,10.8571428571429,5.28571428571429,11.4285714285714,23.2857142857143,1.28571428571429,-0.857142857142857,8.54761904761905,5.6,791
"103","09","Arizona",79,92,89,57,77,78.8,68,-0.0399078067009568,0,0,3.357,7.57142857142857,4.14285714285714,7,13.7142857142857,2.57142857142857,-0.857142857142857,5.69047619047619,4.08571428571429,2101
"105","09","California",80,86,66,49,97,75.6,55,-0.0399078067009568,222,0,43.385,4,2.57142857142857,1.71428571428571,11.8571428571429,2.42857142857143,-0.714285714285714,3.64285714285714,2,6746
"106","09","Colorado",91,68,100,50,73,76.4,65,-0.0399078067009568,0,0,1.865,4.42857142857143,4.42857142857143,2.28571428571429,-0.142857142857143,3.42857142857143,-0.571428571428571,2.30952380952381,2.8,1174
"107","09","Connecticut",76,78,45,40,78,63.4,61,-0.0399078067009568,0,0,2.527,5.14285714285714,1.14285714285714,4,11.8571428571429,2.71428571428571,-0.428571428571429,4.07142857142857,2.51428571428571,1288
"109","09","Florida",89,58,83,56,83,73.8,62,-0.0399078067009568,0,0,5.325,5.42857142857143,3.42857142857143,5.28571428571429,4.71428571428571,1.57142857142857,-0.714285714285714,3.28571428571429,3,6002
"110","09","Georgia",79,70,43,52,85,65.8,62,-0.0399078067009568,2,0,4.569,7.71428571428571,3.28571428571429,5.14285714285714,16.8571428571429,2,-1.14285714285714,5.64285714285714,3.4,1451
"111","09","Hawaii",71,42,42,30,65,50,50,-0.0399078067009568,0,0,1.275,1.71428571428571,1.42857142857143,0.142857142857143,2.14285714285714,1,0.142857142857143,1.0952380952381,0.885714285714286,235
"113","09","Illinois",77,87,42,67,100,74.6,66,-0.0399078067009568,1,0,8.727,6.14285714285714,5.42857142857143,3.85714285714286,20.7142857142857,2,-0.714285714285714,6.23809523809524,3.34285714285714,3019
"114","09","Indiana",82,98,80,38,83,76.2,73,-0.0399078067009568,0,0,2.223,7.85714285714286,3.57142857142857,7.28571428571429,14.8571428571429,1.28571428571429,-0.285714285714286,5.76190476190476,3.94285714285714,1799
"118","09","Louisiana",77,59,31,72,100,67.8,61,-0.0399078067009568,0,0,1.698,14.8571428571429,8.71428571428571,15.2857142857143,30,-8.42857142857143,0.571428571428571,10.1666666666667,6.2,1388
"120","09","Maryland",71,80,60,66,96,74.6,53,-0.0399078067009568,0,0,2.675,3.28571428571429,0.857142857142857,0.142857142857143,4.28571428571429,3,-0.285714285714286,1.88095238095238,1.4,2381
"121","09","Massachusetts",78,95,46,53,100,74.4,53,-0.0399078067009568,0,0,4.712,5.57142857142857,0.285714285714286,6,12.5714285714286,2.85714285714286,-0.428571428571429,4.47619047619048,2.85714285714286,2214
"122","09","Michigan",78,73,46,57,81,67,63,-0.0399078067009568,14,0,5.15,4.28571428571429,0.714285714285714,12.1428571428571,10.7142857142857,-0.571428571428571,0.571428571428571,4.64285714285714,3.42857142857143,2409
"123","09","Minnesota",67,76,28,31,75,55.4,61,-0.0399078067009568,0,0,3.488,6.57142857142857,4,5.85714285714286,6.71428571428571,2.85714285714286,-0.857142857142857,4.19047619047619,3.68571428571429,827
"124","09","Mississippi",73,76,18,26,85,55.6,76,-0.0399078067009568,0,0,879,15.7142857142857,7.42857142857143,12.8571428571429,19.5714285714286,0.428571428571429,-1.42857142857143,9.09523809523809,7,396
"125","09","Missouri",74,86,41,46,95,68.4,72,-0.0399078067009568,0,0,2.994,10.5714285714286,5.28571428571429,6.28571428571429,28.4285714285714,6,-1.71428571428571,9.14285714285714,5.28571428571429,1658
"128","09","Nevada",96,66,44,42,80,65.6,44,-0.0399078067009568,0,0,2.309,6.42857142857143,4.42857142857143,3.28571428571429,9,0.714285714285714,-0.428571428571429,3.90476190476191,2.88571428571429,704
"130","09","New Jersey",83,76,71,46,89,73,53,-0.0399078067009568,0,0,7.996,3.14285714285714,0.857142857142857,1.57142857142857,11.1428571428571,2.42857142857143,-0.285714285714286,3.14285714285714,1.54285714285714,2884
"131","09","New Mexico",26,89,60,75,51,60.2,76,-0.0399078067009568,0,0,690,10.5714285714286,9.85714285714286,7.57142857142857,13.4285714285714,3.14285714285714,-1.57142857142857,7.16666666666667,5.91428571428571,648
"132","09","New York",89,91,68,72,91,82.2,65,-0.0399078067009568,0,0,14.035,3.28571428571429,0.714285714285714,-0.428571428571429,2,2.85714285714286,0.142857142857143,1.42857142857143,1.31428571428571,2260
"133","09","North Carolina",80,100,65,59,85,77.8,62,-0.0399078067009568,0,0,2.575,9,1.85714285714286,8.57142857142857,14.1428571428571,2.57142857142857,-1.28571428571429,5.80952380952381,4.14285714285714,2327
"135","09","Ohio",82,97,51,51,88,73.8,75,-0.0399078067009568,0,0,6.545,6.57142857142857,2.42857142857143,5.14285714285714,11.5714285714286,1.42857142857143,-0.142857142857143,4.5,3.08571428571429,4347
"136","09","Oklahoma",69,71,23,48,81,58.4,65,-0.0399078067009568,21,0,1.569,11.7142857142857,7.42857142857143,9.14285714285714,26.1428571428571,3,-1.57142857142857,9.30952380952381,5.94285714285714,648
"137","09","Oregon",76,100,43,43,88,70,64,-0.0399078067009568,1,0,4.154,9.42857142857143,4.85714285714286,6.14285714285714,32.4285714285714,2.57142857142857,-1,9.07142857142857,4.4,634
"138","09","Pennsylvania",92,89,39,45,84,69.8,69,-0.0399078067009568,0,0,12.227,6.57142857142857,2.14285714285714,3.57142857142857,11.8571428571429,2.28571428571429,-0.285714285714286,4.35714285714286,2.85714285714286,4594
"140","09","South Carolina",68,96,46,53,83,69.2,68,-0.0399078067009568,0,0,1.889,10.1428571428571,3.85714285714286,11.1428571428571,9.71428571428571,2.28571428571429,-1,6.02380952380952,5.28571428571429,1244
"142","09","Tennessee",89,88,43,32,73,65,77,-0.0399078067009568,0,0,2.032,9.71428571428571,4.71428571428571,7.85714285714286,21.7142857142857,2.71428571428571,-1,7.61904761904762,4.8,2274
"143","09","Texas",84,86,58,53,89,74,72,-0.0399078067009568,0,0,14.355,9,5.71428571428571,5.71428571428571,13.5714285714286,2.57142857142857,-1.57142857142857,5.83333333333333,4.28571428571429,3292
"144","09","Utah",65,60,17,70,66,55.6,76,-0.0399078067009568,0,0,1.015,6.71428571428571,10.4285714285714,6.57142857142857,22.7142857142857,2.57142857142857,-0.857142857142857,8.02380952380952,5.08571428571429,550
"146","09","Virginia",86,73,34,59,84,67.2,67,-0.0399078067009568,0,0,2.527,5.71428571428571,4,5.14285714285714,8,2.57142857142857,-0.714285714285714,4.11904761904762,3.34285714285714,1590
"147","09","Washington",75,89,75,57,96,78.4,61,-0.0399078067009568,0,1,6.616,8.42857142857143,3.85714285714286,6.28571428571429,35,2.42857142857143,-1,9.16666666666667,4,1318
"149","09","Wisconsin",70,68,57,48,91,66.8,54,-0.0399078067009568,0,0,5.052,7,3.85714285714286,4.71428571428571,21.8571428571429,3,-0.714285714285714,6.61904761904762,3.57142857142857,1285
"151","10","Alabama",64,77,39,40,61,56.2,57,-0.0403346906974498,69,0,1.819,10.7142857142857,6.42857142857143,9.14285714285714,24.2857142857143,2.57142857142857,-0.428571428571429,8.78571428571429,5.68571428571429,791
"153","10","Arizona",65,86,69,43,67,66,60,-0.0403346906974498,4,0,3.844,7.57142857142857,5.85714285714286,6.57142857142857,16.2857142857143,1.85714285714286,-1.14285714285714,6.16666666666667,4.14285714285714,2101
"155","10","California",68,93,51,48,84,68.8,55,-0.0403346906974498,662,3,57.606,3.85714285714286,5.71428571428571,-2,11.7142857142857,2.28571428571429,-0.142857142857143,3.57142857142857,1.94285714285714,6746
"156","10","Colorado",74,67,60,48,72,64.2,42,-0.0403346906974498,10,0,2.321,6.85714285714286,9.85714285714286,1.57142857142857,28.5714285714286,3.14285714285714,-0.857142857142857,8.19047619047619,4.11428571428571,1174
"157","10","Connecticut",58,69,28,40,84,55.8,57,-0.0403346906974498,1,0,3.44,6.57142857142857,6.28571428571429,5,29.5714285714286,2.71428571428571,-0.571428571428571,8.26190476190476,4,1288
"159","10","Florida",73,62,85,48,81,69.8,52,-0.0403346906974498,13,2,6.463,5.28571428571429,5.28571428571429,1.57142857142857,8.71428571428571,1.14285714285714,0,3.66666666666667,2.65714285714286,6002
"160","10","Georgia",73,77,40,48,80,63.6,49,-0.0403346906974498,15,0,5.445,6.14285714285714,3.71428571428571,2.14285714285714,17.4285714285714,1.28571428571429,-0.285714285714286,5.07142857142857,2.6,1451
"161","10","Hawaii",47,57,0,47,40,38.2,27,-0.0403346906974498,2,0,1.589,0,2.85714285714286,-3.42857142857143,-0.285714285714286,1.28571428571429,0.142857142857143,0.0952380952380953,0.171428571428571,235
"163","10","Illinois",80,87,41,42,71,64.2,51,-0.0403346906974498,4,0,11.305,9.85714285714286,9.85714285714286,5,49.5714285714286,2.57142857142857,-1.28571428571429,12.5952380952381,5.2,3019
"164","10","Indiana",68,93,67,23,80,66.2,59,-0.0403346906974498,2,0,2.596,12.4285714285714,8,10.5714285714286,54.7142857142857,2.42857142857143,-1.14285714285714,14.5,6.45714285714286,1799
"168","10","Louisiana",77,85,100,49,65,75.2,63,-0.0403346906974498,0,0,2.255,11.5714285714286,9.28571428571429,9.28571428571429,25.1428571428571,2.71428571428571,-1.14285714285714,9.47619047619048,6.34285714285714,1388
"170","10","Maryland",83,74,72,45,87,72.2,42,-0.0403346906974498,3,0,3.864,5.42857142857143,4.14285714285714,1.42857142857143,37,3.14285714285714,-0.571428571428571,8.42857142857143,2.71428571428571,2381
"171","10","Massachusetts",88,89,73,54,69,74.6,44,-0.0403346906974498,27,0,7.449,6.71428571428571,4.42857142857143,0.857142857142857,25.2857142857143,2.28571428571429,-0.285714285714286,6.54761904761905,2.8,2214
"172","10","Michigan",89,87,30,50,71,65.4,64,-0.0403346906974498,238,1,5.338,10.7142857142857,4.85714285714286,9.42857142857143,42.8571428571429,2.57142857142857,-1,11.5714285714286,5.31428571428571,2409
"173","10","Minnesota",55,73,68,35,76,61.4,50,-0.0403346906974498,2,0,4.01,7.14285714285714,6.28571428571429,3.57142857142857,18.4285714285714,1.57142857142857,-0.571428571428571,6.07142857142857,3.6,827
"174","10","Mississippi",20,79,20,42,63,44.8,44,-0.0403346906974498,39,4,1.147,15.2857142857143,9,11.8571428571429,22.2857142857143,1.57142857142857,-1.42857142857143,9.76190476190476,7.25714285714286,396
"175","10","Missouri",60,77,37,27,79,56,52,-0.0403346906974498,4,0,4.016,14.1428571428571,10.1428571428571,9,66.1428571428571,6.71428571428571,-2.28571428571429,17.3095238095238,7.54285714285714,1658
"178","10","Nevada",56,83,43,49,59,58,61,-0.0403346906974498,3,0,6.356,5.28571428571429,8,0.142857142857143,10.4285714285714,1.28571428571429,-0.428571428571429,4.11904761904762,2.85714285714286,704
"180","10","New Jersey",79,61,55,60,71,65.2,46,-0.0403346906974498,6,0,9.467,5.71428571428571,6,1.28571428571429,41.8571428571429,2.85714285714286,-0.285714285714286,9.57142857142857,3.11428571428571,2884
"181","10","New Mexico",58,44,57,40,82,56.2,53,-0.0403346906974498,0,0,869,11.1428571428571,12.7142857142857,8.71428571428571,19.4285714285714,3.14285714285714,-1.42857142857143,8.95238095238095,6.85714285714286,648
"182","10","New York",82,81,54,63,81,72.2,55,-0.0403346906974498,28,0,14.272,6.28571428571429,6.14285714285714,-0.571428571428571,18,3.71428571428571,-0.285714285714286,5.54761904761905,3.05714285714286,2260
"183","10","North Carolina",64,80,36,49,86,63,66,-0.0403346906974498,3,0,3.533,8.85714285714286,4.85714285714286,5.28571428571429,24.8571428571429,1.71428571428571,-1,7.42857142857143,3.94285714285714,2327
"185","10","Ohio",74,92,64,39,77,69.2,62,-0.0403346906974498,0,0,7.046,10.2857142857143,5.57142857142857,8,51.4285714285714,2.28571428571429,-1,12.7619047619048,5.02857142857143,4347
"186","10","Oklahoma",73,93,40,42,80,65.6,61,-0.0403346906974498,60,0,1.836,11.5714285714286,9.14285714285714,9.85714285714286,34.1428571428571,3,-1.57142857142857,11.0238095238095,6.4,648
"187","10","Oregon",76,74,42,39,80,62.2,61,-0.0403346906974498,13,0,4.269,7.28571428571429,6.57142857142857,3.14285714285714,26.5714285714286,1.57142857142857,-0.285714285714286,7.47619047619048,3.65714285714286,634
"188","10","Pennsylvania",77,87,75,42,90,74.2,47,-0.0403346906974498,5,0,15.439,8.71428571428571,5.42857142857143,4,35,1.57142857142857,-0.571428571428571,9.02380952380952,3.82857142857143,4594
"190","10","South Carolina",63,68,20,53,95,59.8,58,-0.0403346906974498,5,0,2.093,8.71428571428571,4.85714285714286,10.4285714285714,14.1428571428571,1.85714285714286,-0.285714285714286,6.61904761904762,5.11428571428571,1244
"192","10","Tennessee",73,95,63,48,72,70.2,57,-0.0403346906974498,5,0,2.702,11.1428571428571,8.85714285714286,7.57142857142857,42.2857142857143,0.428571428571429,-1.14285714285714,11.5238095238095,5.37142857142857,2274
"193","10","Texas",83,74,76,45,81,71.8,62,-0.0403346906974498,5,0,16.176,8.14285714285714,6.85714285714286,5,14.5714285714286,2.57142857142857,-1.28571428571429,5.97619047619048,4.25714285714286,3292
"194","10","Utah",74,70,60,72,74,70,43,-0.0403346906974498,1,0,1.305,8.85714285714286,15.2857142857143,4.85714285714286,41.2857142857143,2.28571428571429,-0.857142857142857,11.952380952381,6.08571428571429,550
"196","10","Virginia",57,87,39,72,86,68.2,50,-0.0403346906974498,2,0,2.706,7.42857142857143,6.57142857142857,4.42857142857143,30.2857142857143,1,-0.714285714285714,8.16666666666667,3.74285714285714,1590
"197","10","Washington",64,91,35,49,81,64,68,-0.0403346906974498,124,17,14.24,2.71428571428571,5.71428571428571,-5.42857142857143,22.5714285714286,-2.57142857142857,1.14285714285714,4.02380952380952,0.314285714285714,1318
"199","10","Wisconsin",82,72,55,54,57,64,50,-0.0403346906974498,1,0,5.19,8.71428571428571,6.14285714285714,7.28571428571429,38.2857142857143,3,-0.714285714285714,10.452380952381,4.88571428571429,1285
"201","11","Alabama",59,64,44,47,44,51.6,64,-0.122488489815178,321,1,10.892,5.71428571428571,17.4285714285714,7.57142857142857,33.2857142857143,0.428571428571429,-0.142857142857143,10.7142857142857,6.2,791
"203","11","Arizona",59,86,53,26,68,58.4,77,-0.122488489815178,8,0,29.348,2.71428571428571,11.7142857142857,-2,0,-7.85714285714286,2.28571428571429,1.14285714285714,1.37142857142857,2101
"205","11","California",79,97,50,40,72,67.6,77,-0.122488489815178,2521,5,186.333,-4.28571428571429,13.8571428571429,-16.5714285714286,-11.8571428571429,-4.71428571428571,3.85714285714286,-3.28571428571429,-1.57142857142857,6746
"206","11","Colorado",75,91,32,30,62,58,72,-0.122488489815178,93,1,19.774,-1.28571428571429,17.1428571428571,-8.57142857142857,17.8571428571429,-1.85714285714286,1.85714285714286,4.19047619047619,1.45714285714286,1174
"207","11","Connecticut",83,79,38,37,71,61.6,81,-0.122488489815178,25,0,25.1,-0.142857142857143,16.1428571428571,-8.42857142857143,45.1428571428571,-3.28571428571429,2.14285714285714,8.5952380952381,1.28571428571429,1288
"209","11","Florida",70,56,45,36,67,54.8,66,-0.122488489815178,109,4,74.313,1,11.7142857142857,-4.85714285714286,12.5714285714286,-1.85714285714286,1,3.26190476190476,1.4,6002
"210","11","Georgia",63,100,44,46,60,62.6,81,-0.122488489815178,174,1,12.14,1.85714285714286,15,-3.85714285714286,31.8571428571429,-2.57142857142857,0.857142857142857,7.19047619047619,2.25714285714286,1451
"211","11","Hawaii",32,72,14,18,41,35.4,51,-0.122488489815178,8,0,8.817,-3.71428571428571,3.85714285714286,-7.14285714285714,-3.71428571428571,-1.42857142857143,1.71428571428571,-1.73809523809524,-1.34285714285714,235
