"","State","WeekOfYear","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death","stringency","GSV_workout_L1","SP_L1","NCases_L1","NDeaths_L1","Unemplyment_claims_L1","Recreation_L1","Grocery_L1","Transit_L1","Parks_L1","Workplace_L1","Residential_L1","Mobility_index_L1","Mobility_index_excl_Mobility_L1","Drug_death_L1","stringency_L1","GSV_workout_L2","SP_L2","NCases_L2","NDeaths_L2","Unemplyment_claims_L2","Recreation_L2","Grocery_L2","Transit_L2","Parks_L2","Workplace_L2","Residential_L2","Mobility_index_L2","Mobility_index_excl_Mobility_L2","Drug_death_L2","stringency_L2"
"1","Alabama","09",82,70,48,58,82,68,66,-0.0399078067009568,34,1,1.663,10.8571428571429,5.28571428571429,11.4285714285714,23.2857142857143,1.28571428571429,-0.857142857142857,8.54761904761905,5.6,791,0,69,-0.0718276468790519,8,0,1.575,1,-0.285714285714286,6.71428571428571,9.85714285714286,-0.857142857142857,1.14285714285714,2.92857142857143,1.54285714285714,772,0,68,0.00373464373464372,5,0,1.735,2.5,0,5,16,0.5,0,4,1.6,772,0
"2","Alabama","10",64,77,39,40,61,56.2,57,-0.0403346906974498,69,0,1.819,10.7142857142857,6.42857142857143,9.14285714285714,24.2857142857143,2.57142857142857,-0.428571428571429,8.78571428571429,5.68571428571429,791,0,66,-0.0399078067009568,34,1,1.663,10.8571428571429,5.28571428571429,11.4285714285714,23.2857142857143,1.28571428571429,-0.857142857142857,8.54761904761905,5.6,791,0,69,-0.0718276468790519,8,0,1.575,1,-0.285714285714286,6.71428571428571,9.85714285714286,-0.857142857142857,1.14285714285714,2.92857142857143,1.54285714285714,772,0
"3","Alabama","11",59,64,44,47,44,51.6,64,-0.122488489815178,321,1,10.892,5.71428571428571,17.4285714285714,7.57142857142857,33.2857142857143,0.428571428571429,-0.142857142857143,10.7142857142857,6.2,791,8.33142857142857,57,-0.0403346906974498,69,0,1.819,10.7142857142857,6.42857142857143,9.14285714285714,24.2857142857143,2.57142857142857,-0.428571428571429,8.78571428571429,5.68571428571429,791,0,66,-0.0399078067009568,34,1,1.663,10.8571428571429,5.28571428571429,11.4285714285714,23.2857142857143,1.28571428571429,-0.857142857142857,8.54761904761905,5.6,791,0
"4","Alabama","12",59,86,53,44,53,59,66,-0.032366093492383,889,2,80.984,-21.1428571428571,11,-8.42857142857143,18.8571428571429,-20.8571428571429,8.57142857142857,-2,-6.17142857142857,791,36.2442857142857,64,-0.122488489815178,321,1,10.892,5.71428571428571,17.4285714285714,7.57142857142857,33.2857142857143,0.428571428571429,-0.142857142857143,10.7142857142857,6.2,791,8.33142857142857,57,-0.0403346906974498,69,0,1.819,10.7142857142857,6.42857142857143,9.14285714285714,24.2857142857143,2.57142857142857,-0.428571428571429,8.78571428571429,5.68571428571429,791,0
"5","Alabama","13",65,52,38,36,49,48,94,0.0560856116665918,1226,28,106.739,-32.8571428571429,-5,-21.8571428571429,18.8571428571429,-32.8571428571429,12.8571428571429,-10.1428571428571,-15.9428571428571,791,48.0828571428571,66,-0.032366093492383,889,2,80.984,-21.1428571428571,11,-8.42857142857143,18.8571428571429,-20.8571428571429,8.57142857142857,-2,-6.17142857142857,791,36.2442857142857,64,-0.122488489815178,321,1,10.892,5.71428571428571,17.4285714285714,7.57142857142857,33.2857142857143,0.428571428571429,-0.142857142857143,10.7142857142857,6.2,791,8.33142857142857
"6","Alabama","14",55,87,37,63,48,58,83,0.0289484986013254,1390,52,77.515,-35.1428571428571,-1.57142857142857,-28.2857142857143,5.42857142857143,-36.8571428571429,14.2857142857143,-13.6904761904762,-17.5142857142857,826,55.8871428571429,94,0.0560856116665918,1226,28,106.739,-32.8571428571429,-5,-21.8571428571429,18.8571428571429,-32.8571428571429,12.8571428571429,-10.1428571428571,-15.9428571428571,791,48.0828571428571,66,-0.032366093492383,889,2,80.984,-21.1428571428571,11,-8.42857142857143,18.8571428571429,-20.8571428571429,8.57142857142857,-2,-6.17142857142857,791,36.2442857142857
"7","Alabama","15",52,85,27,43,59,53.2,91,0.0701847402243355,1356,76,66.432,-40.5714285714286,-11.7142857142857,-34.8571428571429,-6.14285714285714,-41.5714285714286,16,-19.8095238095238,-22.5428571428571,826,65.74,83,0.0289484986013254,1390,52,77.515,-35.1428571428571,-1.57142857142857,-28.2857142857143,5.42857142857143,-36.8571428571429,14.2857142857143,-13.6904761904762,-17.5142857142857,826,55.8871428571429,94,0.0560856116665918,1226,28,106.739,-32.8571428571429,-5,-21.8571428571429,18.8571428571429,-32.8571428571429,12.8571428571429,-10.1428571428571,-15.9428571428571,791,48.0828571428571
"8","Alabama","16",62,80,70,47,50,61.8,86,-0.0384742415831009,1337,88,74.966,-30.4285714285714,-8.71428571428571,-29.7142857142857,0.571428571428571,-37.2857142857143,14.2857142857143,-15.2142857142857,-18.3714285714286,826,65.74,91,0.0701847402243355,1356,76,66.432,-40.5714285714286,-11.7142857142857,-34.8571428571429,-6.14285714285714,-41.5714285714286,16,-19.8095238095238,-22.5428571428571,826,65.74,83,0.0289484986013254,1390,52,77.515,-35.1428571428571,-1.57142857142857,-28.2857142857143,5.42857142857143,-36.8571428571429,14.2857142857143,-13.6904761904762,-17.5142857142857,826,55.8871428571429
"9","Alabama","17",67,73,32,58,54,56.8,71,0.0463465080246733,1591,89,28.985,-27.2857142857143,-5.71428571428571,-25.8571428571429,9.57142857142857,-36,13.8571428571429,-11.9047619047619,-16.2,826,65.74,86,-0.0384742415831009,1337,88,74.966,-30.4285714285714,-8.71428571428571,-29.7142857142857,0.571428571428571,-37.2857142857143,14.2857142857143,-15.2142857142857,-18.3714285714286,826,65.74,91,0.0701847402243355,1356,76,66.432,-40.5714285714286,-11.7142857142857,-34.8571428571429,-6.14285714285714,-41.5714285714286,16,-19.8095238095238,-22.5428571428571,826,65.74
"10","Alabama","18",59,71,77,48,44,59.8,66,0.001763643792847,1849,99,26.666,-19.7142857142857,1.57142857142857,-18.4285714285714,28.2857142857143,-33.2857142857143,11,-5.09523809523809,-11.7714285714286,879,54.5,71,0.0463465080246733,1591,89,28.985,-27.2857142857143,-5.71428571428571,-25.8571428571429,9.57142857142857,-36,13.8571428571429,-11.9047619047619,-16.2,826,65.74,86,-0.0384742415831009,1337,88,74.966,-30.4285714285714,-8.71428571428571,-29.7142857142857,0.571428571428571,-37.2857142857143,14.2857142857143,-15.2142857142857,-18.3714285714286,826,65.74
"11","Alabama","19",72,56,75,45,53,60.2,82,0.000585684204654738,1920,110,25.15,-15,9.28571428571429,-11.7142857142857,28.2857142857143,-30,10.1428571428571,-1.5,-7.45714285714286,879,49.54,66,0.001763643792847,1849,99,26.666,-19.7142857142857,1.57142857142857,-18.4285714285714,28.2857142857143,-33.2857142857143,11,-5.09523809523809,-11.7714285714286,879,54.5,71,0.0463465080246733,1591,89,28.985,-27.2857142857143,-5.71428571428571,-25.8571428571429,9.57142857142857,-36,13.8571428571429,-11.9047619047619,-16.2,826,65.74
"12","Alabama","20",66,58,56,47,53,56,78,0.0184034117040403,2623,102,27.919,-11.5714285714286,3.28571428571429,-9.14285714285714,41.7142857142857,-27.1428571428571,9,1.02380952380952,-7.11428571428571,879,49.54,82,0.000585684204654738,1920,110,25.15,-15,9.28571428571429,-11.7142857142857,28.2857142857143,-30,10.1428571428571,-1.5,-7.45714285714286,879,49.54,66,0.001763643792847,1849,99,26.666,-19.7142857142857,1.57142857142857,-18.4285714285714,28.2857142857143,-33.2857142857143,11,-5.09523809523809,-11.7714285714286,879,54.5
"13","Alabama","21",55,59,47,48,60,53.8,92,0.0235482083108103,3077,104,21.335,-8.28571428571429,6.71428571428571,-5.42857142857143,47.4285714285714,-26.2857142857143,8.14285714285714,3.71428571428571,-5.02857142857143,879,42.9228571428571,78,0.0184034117040403,2623,102,27.919,-11.5714285714286,3.28571428571429,-9.14285714285714,41.7142857142857,-27.1428571428571,9,1.02380952380952,-7.11428571428571,879,49.54,82,0.000585684204654738,1920,110,25.15,-15,9.28571428571429,-11.7142857142857,28.2857142857143,-30,10.1428571428571,-1.5,-7.45714285714286,879,49.54
"14","Alabama","22",59,74,28,47,71,55.8,64,0.0297649886187776,3332,114,19.949,-10.8571428571429,3,-4.14285714285714,47,-29,9.28571428571429,2.54761904761905,-6.34285714285714,879,37.96,92,0.0235482083108103,3077,104,21.335,-8.28571428571429,6.71428571428571,-5.42857142857143,47.4285714285714,-26.2857142857143,8.14285714285714,3.71428571428571,-5.02857142857143,879,42.9228571428571,78,0.0184034117040403,2623,102,27.919,-11.5714285714286,3.28571428571429,-9.14285714285714,41.7142857142857,-27.1428571428571,9,1.02380952380952,-7.11428571428571,879,49.54
"15","Alabama","23",73,66,14,49,62,52.8,82,0.0410150544335598,3802,110,18.367,-6.57142857142857,5.85714285714286,-2,41.8571428571429,-23.4285714285714,7.42857142857143,3.85714285714286,-3.74285714285714,902,34.26,64,0.0297649886187776,3332,114,19.949,-10.8571428571429,3,-4.14285714285714,47,-29,9.28571428571429,2.54761904761905,-6.34285714285714,879,37.96,92,0.0235482083108103,3077,104,21.335,-8.28571428571429,6.71428571428571,-5.42857142857143,47.4285714285714,-26.2857142857143,8.14285714285714,3.71428571428571,-5.02857142857143,879,42.9228571428571
"16","Alabama","24",80,78,58,44,52,62.4,76,-0.0257048247993565,4581,100,18.671,-6.57142857142857,4.14285714285714,1.71428571428571,51.4285714285714,-22.1428571428571,6.85714285714286,5.90476190476191,-3.2,902,34.26,82,0.0410150544335598,3802,110,18.367,-6.57142857142857,5.85714285714286,-2,41.8571428571429,-23.4285714285714,7.42857142857143,3.85714285714286,-3.74285714285714,902,34.26,64,0.0297649886187776,3332,114,19.949,-10.8571428571429,3,-4.14285714285714,47,-29,9.28571428571429,2.54761904761905,-6.34285714285714,879,37.96
"17","Alabama","25",100,87,44,59,57,69.4,61,0.00209617440171028,5747,111,18.338,-4.42857142857143,7,5.28571428571429,67.1428571428571,-22.7142857142857,5.57142857142857,9.64285714285714,-1.85714285714286,902,34.26,76,-0.0257048247993565,4581,100,18.671,-6.57142857142857,4.14285714285714,1.71428571428571,51.4285714285714,-22.1428571428571,6.85714285714286,5.90476190476191,-3.2,902,34.26,82,0.0410150544335598,3802,110,18.367,-6.57142857142857,5.85714285714286,-2,41.8571428571429,-23.4285714285714,7.42857142857143,3.85714285714286,-3.74285714285714,902,34.26
"18","Alabama","26",77,49,25,58,61,54,77,-0.0099000731327983,7476,116,19.056,-7.71428571428571,1.42857142857143,4.71428571428571,40.4285714285714,-23.5714285714286,7.28571428571429,3.76190476190476,-3.57142857142857,902,34.26,61,0.00209617440171028,5747,111,18.338,-4.42857142857143,7,5.28571428571429,67.1428571428571,-22.7142857142857,5.57142857142857,9.64285714285714,-1.85714285714286,902,34.26,76,-0.0257048247993565,4581,100,18.671,-6.57142857142857,4.14285714285714,1.71428571428571,51.4285714285714,-22.1428571428571,6.85714285714286,5.90476190476191,-3.2,902,34.26
"19","Alabama","27",95,89,100,74,58,83.2,60,0.0145244477129559,9437,153,20.563,-7.57142857142857,5.85714285714286,3,51.8571428571429,-32.5714285714286,7.85714285714286,4.73809523809524,-4.68571428571429,919,34.26,77,-0.0099000731327983,7476,116,19.056,-7.71428571428571,1.42857142857143,4.71428571428571,40.4285714285714,-23.5714285714286,7.28571428571429,3.76190476190476,-3.57142857142857,902,34.26,61,0.00209617440171028,5747,111,18.338,-4.42857142857143,7,5.28571428571429,67.1428571428571,-22.7142857142857,5.57142857142857,9.64285714285714,-1.85714285714286,902,34.26
"20","Alabama","28",79,36,50,92,69,65.2,79,0.0165960856129106,14482,149,23.676,-8.28571428571429,1.85714285714286,4.14285714285714,42.2857142857143,-26.1428571428571,7.42857142857143,3.54761904761905,-4.2,919,28.7,60,0.0145244477129559,9437,153,20.563,-7.57142857142857,5.85714285714286,3,51.8571428571429,-32.5714285714286,7.85714285714286,4.73809523809524,-4.68571428571429,919,34.26,77,-0.0099000731327983,7476,116,19.056,-7.71428571428571,1.42857142857143,4.71428571428571,40.4285714285714,-23.5714285714286,7.28571428571429,3.76190476190476,-3.57142857142857,902,34.26
