"","State","WeekOfYear","GSV_anxiety","GSV_depression","GSV_insomnia","GSV_suicide","GSV_therapy","GSV_index","GSV_workout","SP","NCases","NDeaths","Unemplyment_claims","Recreation","Grocery","Transit","Parks","Workplace","Residential","Mobility_index","Mobility_index_excl_Mobility","Drug_death","GSV_workout_L1","SP_L1","NCases_L1","NDeaths_L1","Unemplyment_claims_L1","Recreation_L1","Grocery_L1","Transit_L1","Parks_L1","Workplace_L1","Residential_L1","Mobility_index_L1","Mobility_index_excl_Mobility_L1","Drug_death_L1","GSV_workout_L2","SP_L2","NCases_L2","NDeaths_L2","Unemplyment_claims_L2","Recreation_L2","Grocery_L2","Transit_L2","Parks_L2","Workplace_L2","Residential_L2","Mobility_index_L2","Mobility_index_excl_Mobility_L2","Drug_death_L2"
"1225","Texas","29",88,84,81,49,83,77,85,0.0186957391978784,66372,1700,76.804,-18.4285714285714,-6.42857142857143,-28.1428571428571,1.85714285714286,-34.1428571428571,11.7142857142857,-12.2619047619048,-15.0857142857143,3744,78,0.0165960856129106,63419,1316,87.908,-18.8571428571429,-6.42857142857143,-27.7142857142857,1.28571428571429,-34.2857142857143,12.1428571428571,-12.3095238095238,-15.0285714285714,3744,90,0.0145244477129559,46516,824,105.516,-18.5714285714286,-3.42857142857143,-28.4285714285714,5.57142857142857,-38.1428571428571,12.1428571428571,-11.8095238095238,-15.2857142857143,3744
"1226","Texas","30",93,66,70,41,86,71.2,80,-0.011930126178123,56626,1801,62.709,-19.5714285714286,-8.71428571428571,-29.5714285714286,-0.857142857142857,-34.5714285714286,11.8571428571429,-13.5714285714286,-16.1142857142857,3744,85,0.0186957391978784,66372,1700,76.804,-18.4285714285714,-6.42857142857143,-28.1428571428571,1.85714285714286,-34.1428571428571,11.7142857142857,-12.2619047619048,-15.0857142857143,3744,78,0.0165960856129106,63419,1316,87.908,-18.8571428571429,-6.42857142857143,-27.7142857142857,1.28571428571429,-34.2857142857143,12.1428571428571,-12.3095238095238,-15.0285714285714,3744
"1227","Texas","31",91,63,71,49,92,73.2,84,0.0273641888616846,55055,1631,52.304,-17.1428571428571,-7.57142857142857,-27.4285714285714,2.14285714285714,-34,10.8571428571429,-12.1904761904762,-15.0571428571429,3888,80,-0.011930126178123,56626,1801,62.709,-19.5714285714286,-8.71428571428571,-29.5714285714286,-0.857142857142857,-34.5714285714286,11.8571428571429,-13.5714285714286,-16.1142857142857,3744,85,0.0186957391978784,66372,1700,76.804,-18.4285714285714,-6.42857142857143,-28.1428571428571,1.85714285714286,-34.1428571428571,11.7142857142857,-12.2619047619048,-15.0857142857143,3744
"1228","Texas","32",100,67,63,40,80,70,78,0.00822014752715093,49651,1421,61.4,-15.5714285714286,-6.42857142857143,-26,7.71428571428571,-33,10,-10.547619047619,-14.2,3888,84,0.0273641888616846,55055,1631,52.304,-17.1428571428571,-7.57142857142857,-27.4285714285714,2.14285714285714,-34,10.8571428571429,-12.1904761904762,-15.0571428571429,3888,80,-0.011930126178123,56626,1801,62.709,-19.5714285714286,-8.71428571428571,-29.5714285714286,-0.857142857142857,-34.5714285714286,11.8571428571429,-13.5714285714286,-16.1142857142857,3744
"1229","Texas","33",83,91,74,45,79,74.4,72,0.0168251997036318,48680,1255,52.152,-16.7142857142857,-7.71428571428571,-26.1428571428571,2.42857142857143,-33.2857142857143,9.71428571428571,-11.952380952381,-14.8285714285714,3888,78,0.00822014752715093,49651,1421,61.4,-15.5714285714286,-6.42857142857143,-26,7.71428571428571,-33,10,-10.547619047619,-14.2,3888,84,0.0273641888616846,55055,1631,52.304,-17.1428571428571,-7.57142857142857,-27.4285714285714,2.14285714285714,-34,10.8571428571429,-12.1904761904762,-15.0571428571429,3888
"1230","Texas","34",79,76,85,64,80,76.8,62,0.0158830366572461,42495,911,56.673,-17.4285714285714,-8.71428571428571,-26.2857142857143,2,-32,9.57142857142857,-12.1428571428571,-14.9714285714286,3888,72,0.0168251997036318,48680,1255,52.152,-16.7142857142857,-7.71428571428571,-26.1428571428571,2.42857142857143,-33.2857142857143,9.71428571428571,-11.952380952381,-14.8285714285714,3888,78,0.00822014752715093,49651,1421,61.4,-15.5714285714286,-6.42857142857143,-26,7.71428571428571,-33,10,-10.547619047619,-14.2,3888
"1231","Texas","35",95,69,72,47,86,73.8,63,0.0241112550165234,32817,755,65.291,-17.8571428571429,-9.28571428571429,-26.7142857142857,-1.42857142857143,-32.2857142857143,9.85714285714286,-12.952380952381,-15.2571428571429,3888,62,0.0158830366572461,42495,911,56.673,-17.4285714285714,-8.71428571428571,-26.2857142857143,2,-32,9.57142857142857,-12.1428571428571,-14.9714285714286,3888,72,0.0168251997036318,48680,1255,52.152,-16.7142857142857,-7.71428571428571,-26.1428571428571,2.42857142857143,-33.2857142857143,9.71428571428571,-11.952380952381,-14.8285714285714,3888
"1232","Texas","36",84,67,80,100,79,82,72,-0.055239391490508,27956,624,49.386,-15.1428571428571,-8,-24.1428571428571,0.428571428571429,-32,8.57142857142857,-11.7142857142857,-14.1428571428571,3986,63,0.0241112550165234,32817,755,65.291,-17.8571428571429,-9.28571428571429,-26.7142857142857,-1.42857142857143,-32.2857142857143,9.85714285714286,-12.952380952381,-15.2571428571429,3888,62,0.0158830366572461,42495,911,56.673,-17.4285714285714,-8.71428571428571,-26.2857142857143,2,-32,9.57142857142857,-12.1428571428571,-14.9714285714286,3888
"1233","Texas","37",90,91,95,49,84,81.8,74,0.0208173261621205,21124,517,48.426,-16.7142857142857,-9.42857142857143,-26,3.14285714285714,-35.1428571428571,9.42857142857143,-12.452380952381,-15.5714285714286,3986,72,-0.055239391490508,27956,624,49.386,-15.1428571428571,-8,-24.1428571428571,0.428571428571429,-32,8.57142857142857,-11.7142857142857,-14.1428571428571,3986,63,0.0241112550165234,32817,755,65.291,-17.8571428571429,-9.28571428571429,-26.7142857142857,-1.42857142857143,-32.2857142857143,9.85714285714286,-12.952380952381,-15.2571428571429,3888
"1234","Texas","38",85,79,67,44,81,71.2,63,-0.0251764083264729,29100,474,41.351,-16,-9.42857142857143,-24.8571428571429,7.42857142857143,-28,7.85714285714286,-10.5,-14.0857142857143,3986,74,0.0208173261621205,21124,517,48.426,-16.7142857142857,-9.42857142857143,-26,3.14285714285714,-35.1428571428571,9.42857142857143,-12.452380952381,-15.5714285714286,3986,72,-0.055239391490508,27956,624,49.386,-15.1428571428571,-8,-24.1428571428571,0.428571428571429,-32,8.57142857142857,-11.7142857142857,-14.1428571428571,3986
